Year,Rank,Country,Dance_Type,Category_Standardized,Division,Studio_Name_Clean,Team_Name_Clean
2017,9,Scotland,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Jc Dance And Cheer Academy,Jc Dance And Cheer Academy
2018,9,England,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Endurance Elite,Endurance Elite – Strength
2017,10,Wales,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Rsd,Rsd Action
2018,10,Netherlands,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,We Fitness Groningen,We Fitness Groningen – Phoenix Flame
2017,11,Canada,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Balleteatro Dominicano,Balleteatro Dominco
2017,12,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Cheerstars Unique,Cheerstars Unique
2015,1,Philippines,Hip Hop,Open Hip Hop,Open,Team Philipinas,Sayawatha - Team Philipinas
2016,1,USA,Hip Hop,Open Hip Hop,Open,Jordan Johnson Productions,Jordan Johnson Productions - Fly
2017,1,Colombia,Hip Hop,Open Hip Hop,Open,Team Philipinas,Team Philipinas
2018,1,Colombia,Hip Hop,Open Hip Hop,Open,Team Philipinas,Team Philipinas
2015,2,Japan,Hip Hop,Open Hip Hop,Open,Planets Dance Company,Planets - Ohh
2016,2,USA,Hip Hop,Open Hip Hop,Open,Champion Legacy,Champion Legacy
2017,2,USA,Hip Hop,Open Hip Hop,Open,South Jersey Storm,South Jersey Storm- Black Ice
2018,2,Japan,Hip Hop,Open Hip Hop,Open,Uis,Uis
2015,3,USA,Hip Hop,Open Hip Hop,Open,Power House Of Dance,Power House Of Dance - Fly Kids
2016,3,Norway,Hip Hop,Open Hip Hop,Open,Intros Allstars,Intros Allstars
2017,3,USA,Hip Hop,Open Hip Hop,Open,Almaden Spirit Athletics,Almaden Spirit Athletics- Paragon
2018,3,England,Hip Hop,Open Hip Hop,Open,Angels Dance Academy (Ada),Angels Dance Academy – Dominion
2015,4,USA,Hip Hop,Open Hip Hop,Open,Star Performance Centre,Star Performance Centre
2016,4,Japan,Hip Hop,Open Hip Hop,Open,Golden Hawks,Golden Hawks
2017,4,USA,Hip Hop,Open Hip Hop,Open,Dollhouse Dance Factory,Dollhouse Dance Factory
2018,4,Australia,Hip Hop,Open Hip Hop,Open,Dancers Edge,Dancer’S Edge – De 3
2015,5,USA,Hip Hop,Open Hip Hop,Open,Champion Legacy,Champion Legacy
2016,5,USA,Hip Hop,Open Hip Hop,Open,Legendary Athletics North,Legendary Athletics
2017,5,Norway,Hip Hop,Open Hip Hop,Open,Jump Dance Studio,Jump Dance Studio
2018,5,USA,Hip Hop,Open Hip Hop,Open,Dollhouse Dance Factory,Dollhouse Dance Factory – Evil Queen
2015,6,USA,Hip Hop,Open Hip Hop,Open,Dancer'S Edge Studio,Dancer'S Edge - De3
2016,6,Norway,Hip Hop,Open Hip Hop,Open,Jump Dance Studio,Jump Dance Studio - Jump Cheercrew Elite
2017,6,England,Hip Hop,Open Hip Hop,Open,Angels Dance Academy (Ada),Angels Dance Academy
2018,6,USA,Hip Hop,Open Hip Hop,Open,Legendary Athletics North,Legendary Athletics – Open Hip Hop
2015,7,New Zealand,Hip Hop,Open Hip Hop,Open,Insseption Dance Crew,Insseption Dance Crew
2016,7,England,Hip Hop,Open Hip Hop,Open,Ada,Ada - Shadows
2017,7,Japan,Hip Hop,Open Hip Hop,Open,Dsf Brilliants,Dsf
2018,7,USA,Hip Hop,Open Hip Hop,Open,Adrenaline All Stars,Adrenaline Allstars
2015,8,USA,Hip Hop,Open Hip Hop,Open,Studio 3 Cheer,Studio 3 Elite
2016,8,Australia,Hip Hop,Open Hip Hop,Open,Dancers Edge,Dancers Edge - De.3
2017,8,England,Hip Hop,Open Hip Hop,Open,Angels Dance Academy (Ada),Angels Dance Academy
2018,8,Australia,Hip Hop,Open Hip Hop,Open,Haileybury Alumni,Haileybury Alumni – Imperial
2015,9,Germany,Hip Hop,Open Hip Hop,Open,Cll Spurs,Cll Dancers
2016,9,Scotland,Hip Hop,Open Hip Hop,Open,Champion Dance And Cheer,Champion Dance And Cheer
2017,9,Colombia,Hip Hop,Open Hip Hop,Open,Estilo Urbano,Estilo Urbano
2018,9,England,Hip Hop,Open Hip Hop,Open,Oblivion Allstars,Oblivion All Stars – Storm
2015,10,Sweden,Hip Hop,Open Hip Hop,Open,Akropolis Cheer,Akropolis - Dance Crew
2016,10,England,Hip Hop,Open Hip Hop,Open,Oblivion Allstars,Oblivion Allstars - Storm
2017,10,England,Hip Hop,Open Hip Hop,Open,Oblivion Allstars,Oblivion Allstars
2018,10,Colombia,Hip Hop,Open Hip Hop,Open,Ecole De Danse Dan Zaa,Ecole De Danse Dan Zaa – No Rules
2016,11,Chile,Hip Hop,Open Hip Hop,Open,Union Dance Rancaqua,Union Dance Rancaqua
2017,11,Chile,Hip Hop,Open Hip Hop,Open,Fire Wings,Fire Wings Black Crew
2016,12,Scotland,Hip Hop,Open Hip Hop,Open,La Dance And Cheer,La Dance And Cheer
2017,12,Norway,Hip Hop,Open Hip Hop,Open,Sportsclub Akropolis As,Sportsclub Akropolis As
2016,13,Ecuador,Hip Hop,Open Hip Hop,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - We Rock You
2017,13,Scotland,Hip Hop,Open Hip Hop,Open,Champion Dance & Cheer Allstars,Champion Dance And All Stars
2016,14,Australia,Hip Hop,Open Hip Hop,Open,Deakin University,Deakin University - Onyx
2017,14,USA,Hip Hop,Open Hip Hop,Open,Ausfunk,Ausfunk
2016,15,Germany,Hip Hop,Open Hip Hop,Open,Asc Siegen,Asc Siegen - Coronette Dancers
2017,15,Germany,Hip Hop,Open Hip Hop,Open,Cheer Label Langenfeld,Cheer Label Lagenfeld E.V
2017,16,Scotland,Hip Hop,Open Hip Hop,Open,Phoenix Flames,Phoenix Flames
2017,17,USA,Hip Hop,Open Hip Hop,Open,Vengeance Industries,Vengeance Industries
2017,18,El Salvador,Hip Hop,Open Hip Hop,Open,Stage Centro De Artes Escenicas,Stage Centro De Artes Escenicas
2017,19,Guatemala,Hip Hop,Open Hip Hop,Open,Upa Dance,Upa Dance
2015,1,USA,Jazz,Open Jazz,Open,The Vision Dance Center,The Vision Dance Center
2016,1,USA,Jazz,Open Jazz,Open,The Vision Dance Center,The Vision Dance Center
2017,1,USA,Jazz,Open Jazz,Open,The Vision Dance Center,The Vision Dance Center
2018,1,USA,Jazz,Open Jazz,Open,Dancin Bluebonnets,Dancin’ Bluebonnets
2015,2,USA,Jazz,Open Jazz,Open,Pace Elite,Pace Elite
2016,2,USA,Jazz,Open Jazz,Open,Dancin Bluebonnets,Dancin' Bluebonnets
2017,2,USA,Jazz,Open Jazz,Open,Dancin Bluebonnets,Dancin Bluebonnets
2018,2,USA,Jazz,Open Jazz,Open,Dance Dynamics,Dance Dynamics – Open Jazz
2015,3,USA,Jazz,Open Jazz,Open,Mt. Eden Ballet Company,Mt. Eden Ballet Company
2016,3,USA,Jazz,Open Jazz,Open,Dance Dynamics,Dance Dynamics
2017,3,Japan,Jazz,Open Jazz,Open,Wing Dance Promotion,Wing Dance Promotion
2018,3,USA,Jazz,Open Jazz,Open,The Vision Dance Center,The Vision Dance Center
2015,4,Japan,Jazz,Open Jazz,Open,Wing Dance Promotion Silver Wings,Wing Dance Promotion - Silver Wings
2016,4,Japan,Jazz,Open Jazz,Open,Golden Hawks,Golden Hawks
2017,4,USA,Jazz,Open Jazz,Open,Pace Elite,Pace Elite- Stolen Magic
2018,4,USA,Jazz,Open Jazz,Open,Top Dance Studio,Top Dance - Td&B All Stars
2015,5,USA,Jazz,Open Jazz,Open,Brookfield Dance Academy | Brookfield Center For The Arts,Brookfield Dance Academy
2016,5,Japan,Jazz,Open Jazz,Open,Wing Dance Promotion,Wing Dance Promotion
2017,5,USA,Jazz,Open Jazz,Open,Mt. Eden Ballet Company,Mt. Eden Ballet Academy
