Year,Rank,Country,Dance_Type,Category_Standardized,Division,Studio_Name_Clean,Team_Name_Clean
2016,7,Mexico,Hip Hop,Open Coed Hip Hop,Open,Tec De Monterrey,Tec De Monterrey
2017,7,Mexico,Hip Hop,Open Coed Hip Hop,Open,Midrash Dance Centre,Midrash Dance Centre
2018,7,USA,Hip Hop,Open Coed Hip Hop,Open,Toxic Cheer And Dance,Toxic Cheer & Dance
2015,8,Puerto Rico,Hip Hop,Open Coed Hip Hop,Open,Team Puerto Rico,Team Puerto Rico
2016,8,Puerto Rico,Hip Hop,Open Coed Hip Hop,Open,Team Puerto Rico,Team Puerto Rico
2017,8,USA,Hip Hop,Open Coed Hip Hop,Open,Vengeance Industries,Vengeance Industries
2018,8,England,Hip Hop,Open Coed Hip Hop,Open,Angels Dance Academy (Ada),Angels Dance Academy – Dark Angels
2015,9,Colombia,Hip Hop,Open Coed Hip Hop,Open,Dukan Dance,Dukan Dance
2016,9,USA,Hip Hop,Open Coed Hip Hop,Open,Upac,Upac - Rhythm Panthers
2017,9,Colombia,Hip Hop,Open Coed Hip Hop,Open,Estilo Urbano,Estilo Urbano
2018,9,USA,Hip Hop,Open Coed Hip Hop,Open,Sky Dance,Sky Dance
2015,10,Taiwan,Hip Hop,Open Coed Hip Hop,Open,Chinese Taipei,Chinese Tapei Amazing Dance Crew
2016,10,USA,Hip Hop,Open Coed Hip Hop,Open,Tanzhaus Potsdam,Tanzhaus Potsdam - The Rokkaz
2017,10,Germany,Hip Hop,Open Coed Hip Hop,Open,Rokkaz,Rokkaz
2018,10,China,Hip Hop,Open Coed Hip Hop,Open,Leshan Normal University,Leshan Normal University – Team Fly
2016,11,USA,Hip Hop,Open Coed Hip Hop,Open,Hy-Fidelity Dance,Hy-Fidelity Dance - Supreme Krew
2017,11,England,Hip Hop,Open Coed Hip Hop,Open,Oblivion Allstars,Oblivion Allstars
2016,12,Colombia,Hip Hop,Open Coed Hip Hop,Open,Network Medellin,Network Medellin - Network Dance
2017,12,Chile,Hip Hop,Open Coed Hip Hop,Open,Fire Wings,Fire Wings Black Crew
2016,13,Ecuador,Hip Hop,Open Coed Hip Hop,Open,Tanz Regens,Tanz Regens - Hypnotic
2017,13,Ecuador,Hip Hop,Open Coed Hip Hop,Open,Tanz Regens,Tanz Regens
2016,14,USA,Hip Hop,Open Coed Hip Hop,Open,Yo Dance,Yo Dance
2017,14,England,Hip Hop,Open Coed Hip Hop,Open,Jg Dance Academy,Jg Academy
2016,15,USA,Hip Hop,Open Coed Hip Hop,Open,Starlight,Starlight
2017,15,Ecuador,Hip Hop,Open Coed Hip Hop,Open,Universidad Po;Otecmoca Salemsoama,Universidad Po;Otecmoca Salemsoama
2016,16,Guatemala,Hip Hop,Open Coed Hip Hop,Open,Spirit All Stars Guatemala,Spirit All Stars Guatemala
2017,16,USA,Hip Hop,Open Coed Hip Hop,Open,Yo Dance,Yo Dance
2017,17,England,Hip Hop,Open Coed Hip Hop,Open,Tca Tycoons Cheer & Dance Academy,Tca Tycoons Cheer & Dance Academy
2017,18,Colombia,Hip Hop,Open Coed Hip Hop,Open,Collage Company,Collage Company
2017,19,Guatemala,Hip Hop,Open Coed Hip Hop,Open,Upa Dance,Upa Dance
2015,1,USA,Jazz,Open Coed Jazz,Open,Pace Elite,Pace Elite
2016,1,USA,Jazz,Open Coed Jazz,Open,Dance Dynamics,Dance Dynamics
2017,1,Mexico,Jazz,Open Coed Jazz,Open,Dance Factory,Dance Factory
2018,1,Mexico,Jazz,Open Coed Jazz,Open,Dance Factory,Dance Factory
2015,2,USA,Jazz,Open Coed Jazz,Open,Dance Dynamics,Dance Dynamics
2016,2,USA,Jazz,Open Coed Jazz,Open,Pace Elite,Pace Elite
2017,2,USA,Jazz,Open Coed Jazz,Open,Dance Dynamics,Dance Dynamics
2018,2,USA,Jazz,Open Coed Jazz,Open,Strut Performing Arts,Strut Performing Arts
2015,3,China,Jazz,Open Coed Jazz,Open,Xihua University,Xihua University
2016,3,Mexico,Jazz,Open Coed Jazz,Open,Rocheer & Factory All-Stars,Rocheer & Factory All-Stars
2017,3,USA,Jazz,Open Coed Jazz,Open,Pace Elite,Pace Elite
2018,3,USA,Jazz,Open Coed Jazz,Open,Music City All Stars,Music City All Stars
2015,4,Chile,Jazz,Open Coed Jazz,Open,Elite Dance Center,Elite Dance Center
2016,4,Mexico,Jazz,Open Coed Jazz,Open,All Star Studio 74,All Star Studio 74
2017,4,USA,Jazz,Open Coed Jazz,Open,Strut Performing Arts,Strut Performing Arts Center
2018,4,USA,Jazz,Open Coed Jazz,Open,Rs Studio All Star,Rs Studio All Star
2015,5,Puerto Rico,Jazz,Open Coed Jazz,Open,Team Puerto Rico,Team Puerto Rico
2016,5,USA,Jazz,Open Coed Jazz,Open,Strut Performing Arts,Strut Performing Arts
2017,5,China,Jazz,Open Coed Jazz,Open,Xihua University,Xihua University
2018,5,Chile,Jazz,Open Coed Jazz,Open,Elite Dance Center,Elite Dance Center – Edc Toros Dance
2015,6,USA,Jazz,Open Coed Jazz,Open,Bradshaw Dancers,Bradshaw Elite
2016,6,Puerto Rico,Jazz,Open Coed Jazz,Open,Team Puerto Rico,Team Puerto Rico
2017,6,Slovenia,Jazz,Open Coed Jazz,Open,Sd Pike,Sd Pike
2018,6,Ecuador,Jazz,Open Coed Jazz,Open,Universidad Politecnica Salesiana,Universidad Politecnica Salesiana
2015,7,Mexico,Jazz,Open Coed Jazz,Open,Rocheer,Rocheer Studio
2016,7,USA,Jazz,Open Coed Jazz,Open,Dreamtyme,Dreamtyme
2017,7,England,Jazz,Open Coed Jazz,Open,Star Spirit,Star Spirit
2018,7,Scotland,Jazz,Open Coed Jazz,Open,Dazzlers (Scotland),Dazzlers
2015,8,USA,Jazz,Open Coed Jazz,Open,Dance Mania,Dance Mania
2016,8,USA,Jazz,Open Coed Jazz,Open,Upac,Upac - Rhythm Panthers
2017,8,Canada,Jazz,Open Coed Jazz,Open,Balleteatro Dominicano,Balleteatro Dominicano
2015,9,Ecuador,Jazz,Open Coed Jazz,Open,Novadanza,Novadanza - Over The Love
2016,9,Ecuador,Jazz,Open Coed Jazz,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Tore My Heart
2017,9,Scotland,Jazz,Open Coed Jazz,Open,Dazzlers,Dazzlers
2015,10,USA,Jazz,Open Coed Jazz,Open,Dreamtyme,Dreamtyme - Dream Elite
2016,10,Canada,Jazz,Open Coed Jazz,Open,Balleteatro Dominicano,Academia Balleteatro Dominicano - Hispanic Dance Company
2015,11,England,Jazz,Open Coed Jazz,Open,Star Spirit,Star Spirit - Zero Gravity
2015,1,USA,Pom,Open Coed Pom,Open,Pace Elite,Pace Elite
2016,1,Mexico,Pom,Open Coed Pom,Open,Rocheer & Factory All-Stars,Rocheer & Factory All-Stars
2017,1,USA,Pom,Open Coed Pom,Open,Pace Elite,Pace Elite- If You Want
2018,1,Mexico,Pom,Open Coed Pom,Open,Dance Factory,Dance Factory
2015,2,USA,Pom,Open Coed Pom,Open,Energizers Dance Team,Energizers Dance Team
2016,2,USA,Pom,Open Coed Pom,Open,Pace Elite,Pace Elite
2017,2,USA,Pom,Open Coed Pom,Open,Energizers Dance Team,Energizers
2018,2,USA,Pom,Open Coed Pom,Open,Energizers Dance Team,Energizers
2015,3,USA,Pom,Open Coed Pom,Open,Star Performance Centre,Star Performance Centre
2016,3,USA,Pom,Open Coed Pom,Open,Energizers Dance Team,Energizers Dance Team
2017,3,Mexico,Pom,Open Coed Pom,Open,Dance Factory,Dance Factory
2018,3,USA,Pom,Open Coed Pom,Open,Strut Performing Arts,Strut Performing Arts – Open Coed Pom
2015,4,Scotland,Pom,Open Coed Pom,Open,Champion Dance & Cheer Allstars,Champion Dance And Cheer
2016,4,Mexico,Pom,Open Coed Pom,Open,All Star Studio 74,All Star Studio 74
2017,4,USA,Pom,Open Coed Pom,Open,Strut Performing Arts,Strut Performing Arts Center
2018,4,USA,Pom,Open Coed Pom,Open,Rs Studio All Star,Rs Studio All Star
2015,5,Mexico,Pom,Open Coed Pom,Open,Rocheer,Rocheer Studio
2016,5,USA,Pom,Open Coed Pom,Open,Dance Mania,Dance Mania All-Stars
2017,5,Mexico,Pom,Open Coed Pom,Open,Rocheer,Rocheer And Top Dance
2018,5,USA,Pom,Open Coed Pom,Open,Velocity Dance,Velocity Dance – Woop
2015,6,China,Pom,Open Coed Pom,Open,Xihua University,Xihua University
2016,6,Puerto Rico,Pom,Open Coed Pom,Open,Team Puerto Rico,Team Puerto Rico
2017,6,England,Pom,Open Coed Pom,Open,Chengdu Sports University,Chengdu Sport Institute
2018,6,China,Pom,Open Coed Pom,Open,Wuhan Sports University,Wuhan Sports University – Cheer V
2015,7,Mexico,Pom,Open Coed Pom,Open,Abejas,Abejas Salamanca
2016,7,Scotland,Pom,Open Coed Pom,Open,Champion Dance And Cheer,Champion Dance And Cheer
2017,7,China,Pom,Open Coed Pom,Open,Kangjie Middle School,Kangjie Middle School
2018,7,Mexico,Pom,Open Coed Pom,Open,Abejas Salamanca,Abejas Salamanca
2015,8,USA,Pom,Open Coed Pom,Open,Bradshaw Dancers,Bradshaw Elite
2016,8,China,Pom,Open Coed Pom,Open,Team East China Normal University,Team East China Normal University
2015,9,Mexico,Pom,Open Coed Pom,Open,Synergy,Synergy
2016,9,USA,Pom,Open Coed Pom,Open,Dreamtyme,Dreamtyme - Dreamelite
2015,10,Russia,Pom,Open Coed Pom,Open,Electra,Electra
2016,10,Mexico,Pom,Open Coed Pom,Open,Abejas Salamanca,Abejas Salamanca
2016,11,China,Pom,Open Coed Pom,Open,Shanghai Medical School,Shanghai Medical School
2016,12,China,Pom,Open Coed Pom,Open,Guangzhou Huadu Xinhua Middle School,Guangzhou Huadu Xinhua Middle School
2015,1,USA,Hip Hop,Open Male Hip Hop,Open,Extreme All Stars | Florida,Extreme All Stars
2016,1,USA,Hip Hop,Open Male Hip Hop,Open,Jordan Johnson Productions,Jordan Johnson Productions - Crew
2017,1,USA,Hip Hop,Open Male Hip Hop,Open,Pittsburgh Poison,Pittsburgh Poison All Stars- King Cobras
2018,1,USA,Hip Hop,Open Male Hip Hop,Open,Pittsburgh Poison,Pittsburgh Poison All Stars – King Cobras
2015,2,USA,Hip Hop,Open Male Hip Hop,Open,Power House Of Dance,Power House Of Dance - Crew
2016,2,France,Hip Hop,Open Male Hip Hop,Open,Misfit Dance Co,Misfit Dance Company - The Fraternity
2017,2,USA,Hip Hop,Open Male Hip Hop,Open,Texas Cheer Allstars,Texas Cheer Allstars- D Towne Boogie
2018,2,USA,Hip Hop,Open Male Hip Hop,Open,Velocity Dance,Velocity Dance - Werewolves
2015,3,USA,Hip Hop,Open Male Hip Hop,Open,Premier Athletics - Clayton Shockers,Premier Athletics Clayton - Galactic Gentlemen
2016,3,Taiwan,Hip Hop,Open Male Hip Hop,Open,Chinese Taipei Cheerleading Assoc,Chinese Taipei Cheerleading Assoc
2017,3,Ecuador,Hip Hop,Open Male Hip Hop,Open,Tanz Regens,Tanz Regens
2018,3,USA,Hip Hop,Open Male Hip Hop,Open,Elite Legends Of Ohio,Elite Legends Of Ohio – The Veterans
2015,4,Puerto Rico,Hip Hop,Open Male Hip Hop,Open,Team Puerto Rico,Team Puerto Rico
2016,4,Puerto Rico,Hip Hop,Open Male Hip Hop,Open,Team Puerto Rico,Team Puerto Rico
2017,4,USA,Hip Hop,Open Male Hip Hop,Open,Adrenaline All Stars,Adrenaline All Stars- Rush Crew
2018,4,USA,Hip Hop,Open Male Hip Hop,Open,Adrenaline All Stars,Adrenaline Allstars – Rush Crew
2015,5,Ecuador,Hip Hop,Open Male Hip Hop,Open,Tanz Regens,Tanz Regens
2016,5,USA,Hip Hop,Open Male Hip Hop,Open,Adrenaline All Stars,Adrenaline All Stars - Rush Crew
2016,6,Ecuador,Hip Hop,Open Male Hip Hop,Open,Tanz Regens,Tanz Regens - Hop Regens
2018,1,Japan,Junior Dance,Junior Dance,Junior,Jexer Fitness Cuib Omiya,Jexer Fitness Club Omiya – Zingys
2019,1,Japan,Junior Dance,Junior Dance,Junior,C*Star,C-Star - Jd
2018,2,USA,Junior Dance,Junior Dance,Junior,Dancer'S Edge Studio,Dancer’S Edge Studio – Junior Jazz
2019,2,USA,Junior Dance,Junior Dance,Junior,Spg Dance Project,Spg Dance Project - H Beat Beans
2018,3,USA,Junior Dance,Junior Dance,Junior,The Vision Dance Center,The Vision Dance Center
2019,3,USA,Junior Dance,Junior Dance,Junior,Dancer'S Edge Studio,Dancer'S Edge Studio - Junior Small Jazz
2018,4,USA,Junior Dance,Junior Dance,Junior,Studio 22 High Tek Dance Studio,Studio 22 – Jr All Stars
2019,4,USA,Junior Dance,Junior Dance,Junior,Dollhouse Dance Factory,Dollhouse Dance Factory - World Of Dance Juniors
2018,5,Japan,Junior Dance,Junior Dance,Junior,Golden Hawks,Golden Hawks – Golden Hawks Jr
2019,5,USA,Junior Dance,Junior Dance,Junior,Dancin Bluebonnets,Dancin' Bluebonnets - Junior Open
2018,6,Japan,Junior Dance,Junior Dance,Junior,Kawai Dance Agency Japan,Kawai Dance Agency – Little Berries
2019,6,USA,Junior Dance,Junior Dance,Junior,Mt. Eden Ballet Company,Mt Eden Ballet Academy - Jd
2018,7,Germany,Junior Dance,Junior Dance,Junior,Rokkaz,Rokkaz – Junior Rokkaz
2019,7,Mexico,Junior Dance,Junior Dance,Junior,Academia De Baile,Academia De Baile Seven Dancers - Jd
2018,8,Mexico,Junior Dance,Junior Dance,Junior,Academia De Baile,Academia De Baile – Seven Dancers
2018,8,USA,Junior Dance,Junior Dance,Junior,Ultimate Dance Centre,Ultimate Dance Centre – Glitter Stars
2019,8,Mexico,Junior Dance,Junior Dance,Junior,Dancing Dream Center,Dancing Dream Center Mexico - Jd
2019,9,USA,Junior Dance,Junior Dance,Junior,Team Russia,Team Russia - Zvezdy
2018,10,Scotland,Junior Dance,Junior Dance,Junior,La Dance And Cheer,La Dance And Cheer
2019,10,USA,Junior Dance,Junior Dance,Junior,Reign Elite,Reign Elite - Lady Royals
2019,11,Ecuador,Junior Dance,Junior Dance,Junior,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Survivor
2019,12,Ecuador,Junior Dance,Junior Dance,Junior,Atico Ballet & Danza,Atico Ballet & Danza - Toxic
2019,13,England,Junior Dance,Junior Dance,Junior,The Architects Dance Company,The Architects Dance Company - Lightning
2019,14,USA,Junior Dance,Junior Dance,Junior,Electric Girls,Electric Girls Dance - Jd
2019,15,USA,Junior Dance,Junior Dance,Junior,Dance24Seven,Dance24Seven - Sass24/7
2019,16,Colombia,Junior Dance,Junior Dance,Junior,Colegio Nueva York,Colegio Nueva York - Jd
2019,17,USA,Junior Dance,Junior Dance,Junior,The Brand Dance Company,The Brand Dance Company - Jd
2019,18,USA,Junior Dance,Junior Dance,Junior,Strike Force,Strike Force Cheer - Team Ireland
2019,19,Columbia,Junior Dance,Junior Dance,Junior,Academia Amitie,Academia Amitie - Jd
2019,20,China,Junior Dance,Junior Dance,Junior,Rizhao Jinhaian Primary School,Rizhao Jinhaian Primary School - Jha
2019,21,Colombia,Junior Dance,Junior Dance,Junior,Colegio Corazonista,Colegio Corazonista - Jd
2022,1,USA,Junior Dance,Junior Dance,Junior,Dancin Bluebonnets,Junior Jazz
2023,1,Japan,Junior Dance,Junior Dance,Junior,Ydc Dance Studio,Ydc Dance Studio Lapis☆Dio
2024,1,Japan,Junior Dance,Junior Dance,Junior,Wingflap,Wingflap
2025,1,Japan,Junior Dance,Junior Dance,Junior,Ydc Dance Studio,Lapisâ˜†Dio
2021,2,USA,Junior Dance,Junior Dance,Junior,Dancin Bluebonnets,Dancin Bluebonnets
2022,2,USA,Junior Dance,Junior Dance,Junior,Star Steppers Dance,Junior Team Jazz
2023,2,USA,Junior Dance,Junior Dance,Junior,Dancin Bluebonnets,Junior Jazz
2024,2,Japan,Junior Dance,Junior Dance,Junior,Kiyomi Cheerdance Place Kumamoto,Kcpk Hot Heart
2025,2,USA,Junior Dance,Junior Dance,Junior,Dance Dynamics,Junior Dance
2021,3,USA,Junior Dance,Junior Dance,Junior,The Vision Dance Center,The Vision Dance Center
2022,3,USA,Junior Dance,Junior Dance,Junior,Ultimate Allstars,Junior Hip Hiop
2023,3,USA,Junior Dance,Junior Dance,Junior,Star Steppers Dance,Junior Jazz
2024,3,USA,Junior Dance,Junior Dance,Junior,Dance Dynamics,Junior Jazz
2025,3,Japan,Junior Dance,Junior Dance,Junior,Cheers Factory,Cheers Factory
2021,4,USA,Junior Dance,Junior Dance,Junior,Adrenaline Allstars,Adrenaline Allstars - Riot Squad
2022,4,Mexico,Junior Dance,Junior Dance,Junior,Seven Dancers,Seven Dancers
2023,4,Japan,Junior Dance,Junior Dance,Junior,Team Bits,Bits Elite
2024,4,USA,Junior Dance,Junior Dance,Junior,The Vision Dance Center,The Vision Dance Center
2025,4,USA,Junior Dance,Junior Dance,Junior,Studio 22,Junior All Stars
2021,5,USA,Junior Dance,Junior Dance,Junior,Pittsburgh Poison All Stars,Pittsburgh Poison All Stars - Scorpions
2022,5,Scotland,Junior Dance,Junior Dance,Junior,Firebird Dance Company,Storm
2023,5,USA,Junior Dance,Junior Dance,Junior,Extreme All Stars,Junior Combat
2024,5,Mexico,Junior Dance,Junior Dance,Junior,Tds Dance Complex,Tds Dance Complex
2025,5,Japan,Junior Dance,Junior Dance,Junior,Team Peach,Peach Spark
2021,6,USA,Junior Dance,Junior Dance,Junior,Foursis Dance Academy,Foursis Dance Academy
2022,6,Mexico,Junior Dance,Junior Dance,Junior,Tds Dance Complex,Tds Dance Complex
2023,6,USA,Junior Dance,Junior Dance,Junior,Mt Eden Ballet Academy,Meba Junior Team
2024,6,Japan,Junior Dance,Junior Dance,Junior,Cheer&Dance Team Pinkdiamonds,Glanz
2025,6,Mexico,Junior Dance,Junior Dance,Junior,Tds Dance Complex,Tds Dance Complex
2022,7,Mexico,Junior Dance,Junior Dance,Junior,Lb Company,Lb Company
2023,7,Japan,Junior Dance,Junior Dance,Junior,Ydc Dance Studio,Lapis Dio Rise
2024,7,USA,Junior Dance,Junior Dance,Junior,Brio Studios,Can'T Get You Out Of Me Head
2025,7,England,Junior Dance,Junior Dance,Junior,Angels Dance Academy,Bad Bunnies
2021,8,England,Junior Dance,Junior Dance,Junior,Red Hot Flames,Red Hot Ignite
2023,8,USA,Junior Dance,Junior Dance,Junior,Evolution Of Dance,Junior Premier
2024,8,Scotland,Junior Dance,Junior Dance,Junior,Phoenix Flames,Heatwave
2025,8,USA,Junior Dance,Junior Dance,Junior,Project N Dance Center,Pressure
2023,9,USA,Junior Dance,Junior Dance,Junior,Empire Dance Studio,Sovereignty
2024,9,Ecuador,Junior Dance,Junior Dance,Junior,The Elite Dance Academy,Industry
2025,9,Australia,Junior Dance,Junior Dance,Junior,Titan Athletics,Quartz
2023,10,Scotland,Junior Dance,Junior Dance,Junior,Phoenix Flames,Phoenix Flames Heatwave
2024,10,England,Junior Dance,Junior Dance,Junior,Dance Athletics,Senoritas
2025,10,Scotland,Junior Dance,Junior Dance,Junior,Phoenix Flames,Heatwave
2023,11,Scotland,Junior Dance,Junior Dance,Junior,Champion Dance & Cheer All Stars,Lime
2024,11,Mexico,Junior Dance,Junior Dance,Junior,Mds Dance Studio,Mds Dance Studio
2025,11,England,Junior Dance,Junior Dance,Junior,Cheer & Dance Athletics,Senoritas
2023,12,Mexico,Junior Dance,Junior Dance,Junior,Mds Dance Studio,Mds Dance Studio
2024,12,Australia,Junior Dance,Junior Dance,Junior,Xdream Dance Crew,Queens
2025,12,Mexico,Junior Dance,Junior Dance,Junior,Jg Dance Company,Jg Dance Company
2023,13,USA,Junior Dance,Junior Dance,Junior,Excite Dance And Cheer,Team Excite Junior Elite
2024,13,Mexico,Junior Dance,Junior Dance,Junior,Dz Studio,Dz Studio
2025,13,Mexico,Junior Dance,Junior Dance,Junior,Mds Dance Studio,Mds Dance Studio
2023,14,Mexico,Junior Dance,Junior Dance,Junior,Tds Dance Complex,Junior Dance
2024,14,Ecuador,Junior Dance,Junior Dance,Junior,Andanzas,New Age
2025,14,Australia,Junior Dance,Junior Dance,Junior,Rosebourke Studios,Supremacy
2023,15,USA,Junior Dance,Junior Dance,Junior,Entourage Elite,Dxj
2024,15,Ecuador,Junior Dance,Junior Dance,Junior,Atico Ballet & Danza,Team Sharks
2025,15,Colombia,Junior Dance,Junior Dance,Junior,Golden Dance Academy,Golden Girls
2023,16,Mexico,Junior Dance,Junior Dance,Junior,Instituto El Pedregal,Instituto El Pedregal
2024,16,Australia,Junior Dance,Junior Dance,Junior,Dance Affinity,Amethyst Angels
2023,17,Colombia,Junior Dance,Junior Dance,Junior,Ficec,Ficec Italian All Stars
2024,17,Australia,Junior Dance,Junior Dance,Junior,Attitude Dance & Cheer,Junior Associates
2023,18,Scotland,Junior Dance,Junior Dance,Junior,Brisbane School Of Dance,Unity Storm
2024,18,Colombia,Junior Dance,Junior Dance,Junior,Golden Girls,Golden Girls Jd
2023,19,USA,Junior Dance,Junior Dance,Junior,Gym & Cheer,Wildcats Ladies
2024,19,Poland,Junior Dance,Junior Dance,Junior,Love Dance Academy,Lda Juniors
2024,20,Israel,Junior Dance,Junior Dance,Junior,Team Israel,Team Israel
2019,1,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,The Vision Dance Center,The Vision Dance Center - Open Allstars
2019,2,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Dance Dynamics,Dance Dynamics - Open Lyrical
2019,3,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Dance Mania,Dance Mania - Open Contemporary
2019,4,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Mt. Eden Ballet Company,Mt Eden Ballet Academy - Oocl
2019,5,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Sharon Ann Cheer Academy,Sharon Ann Academy Of Cheer & Dance - Sa Supreme
2019,6,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Mathis Dance Studio,Mathis Dance Studio - Diamonds
2019,7,Australia,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Attitude Dance Centre,Attitude Dance & Cheer - Attitude #Aep
2019,8,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Ultimate Dance Centre,Ultimate Dance Centre - Ultimate Rock Stars
2019,9,Ecuador,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - This Is Me
2019,10,England,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Star Spirit,Star Spirit - Zero Gravity
2019,11,England,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Angels Dance Academy (Ada),Angels Dance Academy - Ada Virtues
2019,12,Ecuador,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Atico Ballet & Danza,Atico Ballet & Danza - Never Enough
2019,13,Ukraine,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Cfu Ukraine,Cfu Ukraine - Oocl
2019,14,Wales,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Rsd,Rsd - Leading Ladies
2019,15,Colombia,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Golden Girls,Golden Girls - Oocl
2019,16,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Dance And Cheer Academy,Dance And Cheer Academy - Dca Platinum
2019,1,USA,Jazz,Open Jazz,Open,The Vision Dance Center,The Vision Dance Center - Open Allstars
2019,2,Japan,Jazz,Open Jazz,Open,Wing Dance Promotion Silver Wings,Wing Dance Promotion Silver Wings - Oj
2019,3,USA,Jazz,Open Jazz,Open,Dancin Bluebonnets,Dancin' Bluebonnets - Oj
2019,4,USA,Jazz,Open Jazz,Open,Mt. Eden Ballet Company,Mt Eden Ballet Academy - Oj
2019,5,USA,Jazz,Open Jazz,Open,Dance Dynamics,Dance Dynamics - Oj
2019,6,USA,Jazz,Open Jazz,Open,Sharon Ann Cheer Academy,Sharon Ann Academy Of Cheer & Dance - Sa Supreme
2019,7,USA,Jazz,Open Jazz,Open,Ultimate Dance Centre,Ultimate Dance Centre - Ultimate Rock Stars
2019,8,USA,Jazz,Open Jazz,Open,Mathis Dance Studio,Mathis Dance Studio - Diamonds
2019,9,Wales,Jazz,Open Jazz,Open,Rsd,Rsd - Leading Ladies
2019,10,Ukraine,Jazz,Open Jazz,Open,Cfu Ukraine,Cfu Ukraine - Oj
2019,11,Ukraine,Jazz,Open Jazz,Open,Team Ukraine,Team Ukraine - East-West - Oj
2019,12,England,Jazz,Open Jazz,Open,Star Spirit,Star Spirit - Zero Gravity
2019,13,England,Jazz,Open Jazz,Open,Rockstar Legacy,Rockstar Legacy - Oj
2019,14,Germany,Jazz,Open Jazz,Open,Dance Deluxe,Dance Deluxe - Oj
2019,15,USA,Jazz,Open Jazz,Open,The Brand Dance Company,The Brand Dance Company - Oj
2019,16,USA,Jazz,Open Jazz,Open,Phoenix All Girl,Phoenix All Girl - Oj
2019,1,USA,Kick,Open Kick,Open,Energizers Dance Team,Energizers - Ok
2019,2,USA,Kick,Open Kick,Open,Power Of Dance Llc,Power Of Dance - Indus - Knock On Wood
2019,3,USA,Kick,Open Kick,Open,Foursis Dance Academy Dazzlers,Foursis Dance Academy - Dazzler Dance Team
2019,4,Colombia,Kick,Open Kick,Open,Colegio Nueva York,Colegio Nueva York - Ok
2019,1,Japan,Pom,Open Pom,Open,Planets Dance Company,Planets - Op
2019,2,Japan,Pom,Open Pom,Open,Wing Dance Promotion,Wing Dance Promotion Silver Wings - Op
2019,3,USA,Pom,Open Pom,Open,Energizers Dance Team,Energizers - Op
2019,4,Japan,Pom,Open Pom,Open,Planets Dance Company,Planets West - Op
2019,5,USA,Pom,Open Pom,Open,South Coast Freestyle,South Coast Freestyle - Op
2019,6,Scotland,Pom,Open Pom,Open,Champion Dance & Cheer Allstars,Champion Dance & Cheer All Stars - Black
2019,7,Australia,Pom,Open Pom,Open,Pacific Elite Dance,Pacific Elite Dance - Mystics
2019,8,USA,Pom,Open Pom,Open,Starz Dance Academy,Starz Dance Academy - Elite
2019,9,Scotland,Pom,Open Pom,Open,Jc Dance And Cheer Academy,Jc Dance And Cheer Academy - Jc Glitter White
2019,10,Mexico,Pom,Open Pom,Open,Dance Factory,Dance Factory - Op
2019,11,Wales,Pom,Open Pom,Open,Rsd,Rsd - Leading Ladies
2019,12,Scotland,Pom,Open Pom,Open,Phoenix Flames,Phoenix Flames - Elite
2019,13,Mexico,Pom,Open Pom,Open,Dancing Dream Center,Dancing Dream Center Mexico - Op
2019,14,USA,Pom,Open Pom,Open,Cheerforce,Cheerforce - The Ladies Of Ten
2019,15,Colombia,Pom,Open Pom,Open,Golden Girls,Golden Girls - Op
2019,16,Ukraine,Pom,Open Pom,Open,Cfu Ukraine,Cfu Ukraine - Op
2019,17,England,Pom,Open Pom,Open,Hawks Cheer And Dance,Hawks Cheer And Dance - Hawks Intensity Diamonds
2019,17,USA,Pom,Open Pom,Open,Toxic Cheer And Dance,Toxic Cheer & Dance - Extreme
2019,19,USA,Pom,Open Pom,Open,Big Fire,Big Fire - Op
2019,20,USA,Pom,Open Pom,Open,Sm Cheer & Dance - Starz Elite,Sm Cheer & Dance - Argent
2019,21,USA,Pom,Open Pom,Open,The Brand Dance Company,The Brand Dance Company - Op
2019,22,Germany,Pom,Open Pom,Open,Dance Deluxe,Dance Deluxe - Op
2019,23,Norway,Pom,Open Pom,Open,Kif Dance,Kif Dans - Kif Studio3 Magnetic
2019,24,England,Pom,Open Pom,Open,Red Hot Flames,Red Hot Flames - Op
